Algorithm,Log Source,Log,Complete-Window Size,Detection-Window Size,Stable Period,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,P-Value,Min Adaptive Window,Max Adaptive Window,MRID,Epsilon,Window Size,SW Step Size,ADWIN Step Size
Process Graph Metrics,AdditionalLogs,sudden_drift_09,,,,"[569, 1109]","[500, 1000]",1.0,89.0,00:00:05,5.269859799998812,0.0035132398666658,0.005,300.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_02,,,,"[600, 1204]","[500, 1000]",0.5,100.0,00:00:00,0.7793009000015445,0.0005195339333343,0.05,400.0,500.0,,,,,
LCDD,AdditionalLogs,sudden_drift_09,100.0,100.0,200.0,"[157, 268, 502, 1000, 1197, 1308, 1417]","[500, 1000]",0.4444444444444445,1.0,00:00:00,0.0240569000015966,1.6037933334397774e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_05,,,,"[379, 860, 1310]","[500, 1000]",0.8,130.5,00:00:01,1.903033799993864,0.0012686891999959,0.1,100.0,700.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_02,,,,"[463, 1091, 1468]","[500, 1000]",0.8,64.0,00:00:01,1.6563441999969657,0.0011042294666646,0.005,100.0,400.0,,,,,
LCDD,AdditionalLogs,gradual_drift_00,300.0,300.0,200.0,"[413, 912]","[500, 1000]",1.0,87.5,00:00:00,0.0084101000029477,6.007214287819807e-06,,,,,,,,
LCDD,AdditionalLogs,recurring_drift_03,100.0,100.0,5.0,"[122, 252, 370, 499, 603, 786, 893, 1019, 1120, 1231, 1333]","[500, 1000]",0.3076923076923077,10.0,00:00:00,0.0158477000004495,1.0565133333633032e-05,,,,,,,,
LCDD,AdditionalLogs,gradual_drift_08,400.0,400.0,200.0,"[407, 862, 1315]","[500, 1000]",0.8,115.5,00:00:00,0.0094182999964687,6.727357140334789e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_02,,,,"[450, 1129]","[500, 1000]",1.0,89.5,00:00:02,2.49778150000202,0.0017841296428585,0.005,100.0,600.0,,,,,
LCDD,AdditionalLogs,sudden_drift_00,400.0,400.0,10.0,"[502, 1000]","[500, 1000]",1.0,1.0,00:00:00,0.0103353000013157,6.890200000877182e-06,,,,,,,,
LCDD,AdditionalLogs,recurring_drift_09,600.0,600.0,200.0,[],"[500, 1000]",,,00:00:00,0.2157294000062393,0.0001438196000041,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_09,,,,"[527, 1065]","[500, 1000]",1.0,46.0,00:00:01,1.4818383999954676,0.0010584559999967,0.005,200.0,600.0,,,,,
LCDD,AdditionalLogs,sudden_drift_02,100.0,100.0,50.0,"[100, 236, 336, 447, 548, 652, 755, 859, 959, 1059, 1192, 1299, 1409]","[500, 1000]",0.2666666666666667,44.5,00:00:00,0.1758510999934515,0.0001172340666623,,,,,,,,
LCDD,AdditionalLogs,gradual_drift_07,100.0,100.0,5.0,"[182, 291, 416, 516, 650, 759, 863, 975, 1090, 1197, 1297]","[500, 1000]",0.3076923076923077,20.5,00:00:00,0.0178338999976404,1.2738499998314572e-05,,,,,,,,
LCDD,AdditionalLogs,sudden_drift_06,300.0,300.0,150.0,"[336, 644, 986, 1452]","[500, 1000]",0.6666666666666666,79.0,00:00:00,0.1748137999966275,0.000116542533331,,,,,,,,
LCDD,AdditionalLogs,sudden_drift_01,1200.0,1200.0,20.0,[1254],"[500, 1000]",,,00:00:00,0.1640209999968647,0.0001093473333312,,,,,,,,
LCDD,AdditionalLogs,recurring_drift_08,800.0,800.0,200.0,[892],"[500, 1000]",0.6666666666666666,108.0,00:00:00,0.0149820999940857,9.98806666272382e-06,,,,,,,,
LCDD,AdditionalLogs,gradual_drift_09,1200.0,1200.0,20.0,[],"[500, 1000]",,,00:00:00,0.1714073999974061,0.000122433857141,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_05,,,,"[610, 1210]","[500, 1000]",0.5,110.0,00:00:00,0.8788910000002943,0.0005859273333335,0.05,400.0,600.0,,,,,
LCDD,AdditionalLogs,sudden_drift_08,400.0,400.0,200.0,"[504, 905, 1357]","[500, 1000]",0.8,49.5,00:00:00,0.2205283000002964,0.0001470188666668,,,,,,,,
LCDD,AdditionalLogs,sudden_drift_05,200.0,200.0,200.0,"[200, 423, 643, 881, 1087, 1315]","[500, 1000]",0.5,82.0,00:00:00,0.0232168000002275,1.547786666681835e-05,,,,,,,,
Process Graph Metrics,AdditionalLogs,gradual_drift_09,,,,"[530, 1055]","[500, 1000]",1.0,42.5,00:00:08,8.004921200001263,0.0057178008571437,0.005,100.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_00,,,,"[561, 1101]","[500, 1000]",1.0,81.0,00:00:00,0.6048393000019132,0.0004032262000012,0.0001,300.0,600.0,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_08,,,,[779],"[500, 1000]",,,00:00:00,0.5195527999967453,0.0003463685333311,0.0001,100.0,700.0,,,,,
LCDD,AdditionalLogs,sudden_drift_09,300.0,300.0,10.0,"[502, 1000]","[500, 1000]",1.0,1.0,00:00:00,0.0145978000000468,9.731866666697896e-06,,,,,,,,
LCDD,AdditionalLogs,recurring_drift_00,300.0,300.0,20.0,"[502, 836, 1259]","[500, 1000]",0.8,83.0,00:00:00,0.0053466000026674,3.5644000017782674e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_04,,,,"[600, 1320]","[500, 1000]",0.5,100.0,00:00:00,0.1282102999975904,8.5473533331727e-05,0.1,400.0,600.0,,,,,
LCDD,AdditionalLogs,recurring_drift_00,600.0,600.0,50.0,"[601, 1259]","[500, 1000]",0.5,101.0,00:00:00,0.0046126000015647,3.07506666770981e-06,,,,,,,,
Process Graph Metrics,AdditionalLogs,recurring_drift_07,,,,"[541, 1114]","[500, 1000]",1.0,77.5,00:00:02,2.3858851000040886,0.0015905900666693,0.0001,200.0,500.0,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_07,,,,"[501, 1028]","[500, 1000]",1.0,14.5,00:00:02,2.9787382000067737,0.0019858254666711,0.005,200.0,400.0,,,,,
LCDD,AdditionalLogs,recurring_drift_06,400.0,400.0,10.0,"[500, 939, 1401]","[500, 1000]",0.8,30.5,00:00:00,0.2538639999984298,0.0001692426666656,,,,,,,,
Process Graph Metrics,AdditionalLogs,sudden_drift_02,,,,"[457, 1082, 1457]","[500, 1000]",0.8,62.5,00:00:01,1.503819999998086,0.0010025466666653,0.05,100.0,600.0,,,,,
