Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Window Size,SW Step Size,ADWIN Step Size
LCDD,Ceravolo,sudden_trace_noise15_1000_ROI,,,,[447],[499],1.0,52.0,00:00:00,0.0133688999994774,1.3368899999477437e-05,200.0,200.0,10.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_cp,0.0001,100.0,400.0,[],[499],,,00:00:19,19.657656100000167,0.0196576561000001,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_SerialRemoval_output_SerialRemoval_5,0.1,400.0,500.0,[],"[999, 1999]",,,00:00:01,1.930491600000096,0.0019304916,,,,,,,,
LCDD,Ostovar,Nested_RIO_output_RIO,,,,"[422, 766]","[999, 1999]",,,00:00:00,0.0387903000000733,3.879030000007333e-05,300.0,300.0,10.0,,,,,
LCDD,Ostovar,Atomic_Swap_output_Swap_5,,,,[800],"[999, 1999]",0.6666666666666666,199.0,00:00:00,0.0405011000002559,4.050110000025597e-05,800.0,800.0,100.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_cp,0.1,100.0,400.0,[477],[499],1.0,22.0,00:00:01,1.0739546999993763,0.0010739546999993,,,,,,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,[np.float64(449.5)],[499],1.0,49.5,00:00:00,0.24464799999987,0.0002446479999998,,,,300.0,30.0,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,[np.float64(449.5)],[499],1.0,49.5,00:00:00,0.24464799999987,0.0002446479999998,,,,300.0,60.0,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,[np.float64(449.5)],[499],1.0,49.5,00:00:00,0.24464799999987,0.0002446479999998,,,,300.0,90.0,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,[np.float64(449.5)],[499],1.0,49.5,00:00:00,0.24464799999987,0.0002446479999998,,,,300.0,120.0,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise20_1000_IOR,,,,[np.float64(449.5)],[499],1.0,49.5,00:00:00,0.24464799999987,0.0002446479999998,,,,300.0,150.0,,,
LCDD,Ceravolo,sudden_trace_noise5_1000_cb,,,,[],[499],,,00:00:00,0.0116286000002219,1.1628600000221922e-05,1200.0,1200.0,50.0,,,,,
Process Graph Metrics,Ostovar,Composite_ROI_output_ROI_2,0.05,100.0,600.0,[],"[999, 1999]",,,00:00:03,3.131201500000316,0.0031312015000003,,,,,,,,
LCDD,Ostovar,Composite_IRO_output_IRO_2,,,,[],"[999, 1999]",,,00:00:00,0.0413558999998713,4.135589999987133e-05,1200.0,1200.0,50.0,,,,,
LCDD,Ostovar,Atomic_Substitute_output_Substitute_5,,,,[805],"[999, 1999]",0.6666666666666666,194.0,00:00:00,0.0403304999999818,4.033049999998184e-05,800.0,800.0,10.0,,,,,
Process Graph Metrics,Ostovar,Atomic_Substitute_output_Substitute,0.005,300.0,400.0,[],"[999, 1999]",,,00:00:01,1.4923282999998264,0.0014923282999998,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise5_1000_cf,,,,[],[499],,,00:00:00,0.0161318999998911,1.6131899999891174e-05,600.0,600.0,5.0,,,,,
LCDD,Ceravolo,sudden_trace_noise10_1000_ROI,,,,[],[499],,,00:00:00,0.0113473999999769,1.1347399999976914e-05,800.0,800.0,10.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_IOR,0.05,200.0,600.0,[750],[499],,,00:00:00,0.3939495999993596,0.0003939495999993,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise15_1000_RIO,,,,[447],[499],1.0,52.0,00:00:00,0.0138415999999779,1.3841599999977916e-05,200.0,200.0,150.0,,,,,
Process Graph Metrics,Ostovar,Atomic_Loop_output_Loop_5,0.005,100.0,400.0,[],"[999, 1999]",,,00:00:03,3.425414099999216,0.0034254140999992,,,,,,,,
Process Graph Metrics,Ostovar,Composite_IOR_output_IOR,0.05,300.0,400.0,[],"[999, 1999]",,,00:00:01,1.4749910999998974,0.0014749910999998,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_re,0.1,400.0,500.0,[600],[499],1.0,101.0,00:00:00,0.120603200000005,0.0001206032,,,,,,,,
LCDD,Ostovar,Nested_IRO_output_IRO_5,,,,[604],"[999, 1999]",,,00:00:00,0.0553018999999039,5.530189999990398e-05,600.0,600.0,200.0,,,,,
LCDD,Ceravolo,sudden_trace_noise20_1000_pm,,,,[448],[499],1.0,51.0,00:00:00,0.0147437999994508,1.4743799999450858e-05,100.0,100.0,100.0,,,,,
LCDD,Ceravolo,sudden_trace_noise5_1000_cp,,,,[447],[499],1.0,52.0,00:00:00,0.018230599999697,1.8230599999697007e-05,400.0,400.0,5.0,,,,,
Process Graph Metrics,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval,0.005,400.0,500.0,[],"[999, 1999]",,,00:00:01,1.6391598999998678,0.0016391598999998,,,,,,,,
LCDD,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,,,,[],"[999, 1999]",,,00:00:00,0.0430998000001636,4.309980000016367e-05,1200.0,1200.0,20.0,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelRemoval_output_ParallelRemoval,0.05,300.0,500.0,[],"[999, 1999]",,,00:00:01,1.5502459999997882,0.0015502459999997,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise5_1000_pl,,,,[],[499],,,00:00:00,0.0119659000001774,1.19659000001775e-05,600.0,600.0,20.0,,,,,
Process Graph Metrics,Ostovar,Nested_IOR_output_IOR_5,0.05,300.0,500.0,[],"[999, 1999]",,,00:00:03,3.02323830000023,0.0030232383000002,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_IRO,0.1,400.0,400.0,[600],[499],1.0,101.0,00:00:00,0.1367473000000245,0.0001367473,,,,,,,,
LCDD,Ostovar,Nested_ROI_output_ROI_2,,,,[802],"[999, 1999]",0.6666666666666666,197.0,00:00:00,0.183594200000698,0.0001835942000006,800.0,800.0,50.0,,,,,
LCDD,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence_2,,,,[605],"[999, 1999]",,,00:00:00,0.1670023999995464,0.0001670023999995,600.0,600.0,5.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_cf,0.1,100.0,600.0,[612],[499],1.0,113.0,00:00:02,2.765593600000102,0.0027655936000001,,,,,,,,
LCDD,Ostovar,Atomic_ParallelMove_output_ParallelMove_5,,,,"[202, 402, 602, 803]","[999, 1999]",0.3333333333333333,196.0,00:00:00,0.0442709999997532,4.427099999975326e-05,200.0,200.0,150.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cd,0.1,200.0,500.0,[],[499],,,00:00:00,0.5539166999997178,0.0005539166999997,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise10_1000_re,,,,[447],[499],1.0,52.0,00:00:00,0.0104610999997021,1.0461099999702128e-05,400.0,400.0,150.0,,,,,
Process Graph Metrics,Ostovar,Atomic_Substitute_output_Substitute_2,0.1,300.0,500.0,[],"[999, 1999]",,,00:00:02,2.132153699999435,0.0021321536999994,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_OIR,0.05,300.0,600.0,[498],[499],1.0,1.0,00:00:01,1.6165657000001374,0.0016165657000001,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_ROI,0.1,400.0,600.0,[600],[499],1.0,101.0,00:00:00,0.1131037000004653,0.0001131037000004,,,,,,,,
LCDD,Ostovar,Nested_ROI_output_ROI_2,,,,"[300, 600, 900]","[999, 1999]",0.4,99.0,00:00:00,0.0397206999996342,3.972069999963423e-05,300.0,300.0,5.0,,,,,
Process Graph Metrics,Bose,bose_log,0.1,200.0,400.0,"[1320, 2943, 3669]","[1199, 2399, 3599, 4799]",0.5714285714285715,95.5,00:00:17,17.557591100000536,0.0029262651833334,,,,,,,,
LCDD,Ostovar,Nested_IRO_output_IRO_2,,,,[],"[999, 1999]",,,00:00:00,0.0517538999993121,5.175389999931213e-05,1200.0,1200.0,150.0,,,,,
LCDD,Ceravolo,sudden_trace_noise0_1000_cd,,,,[],[499],,,00:00:00,0.0197279000003618,1.9727900000361844e-05,300.0,300.0,100.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_re,0.005,100.0,500.0,[532],[499],1.0,33.0,00:00:02,2.62966359999973,0.0026296635999997,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_Skip_output_Skip_2,0.1,100.0,700.0,[],"[999, 1999]",,,00:00:02,2.8375495999998748,0.0028375495999998,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_pm,0.005,200.0,700.0,[1190],[499],,,00:00:30,30.277411800000664,0.0302774118000006,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence_2,0.005,300.0,400.0,[],"[999, 1999]",,,00:00:02,2.186940399999912,0.0021869403999999,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise10_1000_ROI,,,,[447],[499],1.0,52.0,00:00:00,0.0106022999998458,1.0602299999845854e-05,300.0,300.0,50.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_ROI,0.1,200.0,600.0,[473],[499],1.0,26.0,00:00:01,1.3577038000003083,0.0013577038000003,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise10_1000_cf,,,,[],[499],,,00:00:00,0.0104000000001178,1.040000000011787e-05,1200.0,1200.0,10.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise0_1000_pm,0.0001,400.0,400.0,[],[499],,,00:00:00,0.4261092000006101,0.0004261092000006,,,,,,,,
LCDD,Ostovar,Nested_IOR_output_IOR_2,,,,"[402, 807]","[999, 1999]",0.5,192.0,00:00:00,0.1808387999999468,0.0001808387999999,400.0,400.0,150.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_ROI,0.05,400.0,600.0,[600],[499],1.0,101.0,00:00:00,0.1098376999998436,0.0001098376999998,,,,,,,,
Process Graph Metrics,Ostovar,Composite_IOR_output_IOR_2,0.005,200.0,500.0,[],"[999, 1999]",,,00:00:02,2.3588119999994888,0.0023588119999994,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_cf,0.05,100.0,600.0,[748],[499],,,00:00:07,7.883831799999825,0.0078838317999998,,,,,,,,
LCDD,Ostovar,Nested_ROI_output_ROI_5,,,,[602],"[999, 1999]",,,00:00:00,0.0373908000001392,3.739080000013928e-05,600.0,600.0,50.0,,,,,
Process Graph Metrics,Ostovar,Atomic_ParallelToSequence_output_ParallelToSequence,0.0001,400.0,700.0,[],"[999, 1999]",,,00:00:01,1.9165110000003551,0.0019165110000003,,,,,,,,
Process Graph Metrics,Ostovar,Composite_ORI_output_ORI_2,0.05,400.0,700.0,[],"[999, 1999]",,,00:00:02,2.478994799999782,0.0024789947999997,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise15_1000_re,,,,[],[499],,,00:00:00,0.0106466999995973,1.0646699999597332e-05,800.0,800.0,20.0,,,,,
LCDD,Ceravolo,sudden_trace_noise20_1000_cb,,,,[447],[499],1.0,52.0,00:00:00,0.0190798000003269,1.907980000032694e-05,200.0,200.0,50.0,,,,,
LCDD,Ceravolo,sudden_trace_noise0_1000_cf,,,,[],[499],,,00:00:00,0.0125876000001881,1.2587600000188104e-05,800.0,800.0,5.0,,,,,
LCDD,Ostovar,Atomic_Skip_output_Skip_5,,,,[800],"[999, 1999]",0.6666666666666666,199.0,00:00:00,0.0368220999998811,3.682209999988117e-05,800.0,800.0,200.0,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_rp,0.0001,300.0,400.0,[602],[499],1.0,103.0,00:00:02,2.402527199999895,0.0024025271999998,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_Frequency_output_Frequency,0.005,300.0,400.0,[],"[999, 1999]",,,00:00:01,1.131978700000218,0.0011319787000002,,,,,,,,
Process Graph Metrics,Ostovar,Atomic_Loop_output_Loop,0.005,200.0,700.0,[],"[999, 1999]",,,00:00:02,2.201082600000518,0.0022010826000005,,,,,,,,
LCDD,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_2,,,,[],"[999, 1999]",,,00:00:00,0.0343722999996316,3.437229999963165e-05,1200.0,1200.0,150.0,,,,,
Process Graph Metrics,Ostovar,Nested_ORI_output_ORI,0.0001,400.0,500.0,[],"[999, 1999]",,,00:00:15,15.194522800000414,0.0151945228000004,,,,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise20_1000_rp,0.0001,100.0,400.0,[603],[499],1.0,104.0,00:00:02,2.5380064000000857,0.0025380064,,,,,,,,
LCDD,Ceravolo,sudden_trace_noise20_1000_cf,,,,[],[499],,,00:00:00,0.0108259999997244,1.0825999999724444e-05,600.0,600.0,50.0,,,,,
LCDD,Ostovar,Nested_IRO_output_IRO_2,,,,"[101, 203, 304, 405, 508, 609, 711, 811, 914]","[999, 1999]",0.1818181818181818,85.0,00:00:00,0.0530899999994289,5.3089999999428986e-05,100.0,100.0,50.0,,,,,
Process Graph Metrics,Ostovar,Atomic_SerialMove_output_SerialMove,0.05,100.0,400.0,[],"[999, 1999]",,,00:00:02,2.432493500000419,0.0024324935000004,,,,,,,,
